UserID,N-Score,Offer,Time
User_7783,N3,VIP_Offer,10:00
User_9872,N3,VIP_Offer,10:00
User_5330,N3,VIP_Offer,10:00
User_4775,N3,VIP_Offer,10:00
User_8265,N3,VIP_Offer,10:00
User_7504,N3,VIP_Offer,10:00
User_9531,N3,VIP_Offer,10:00
User_6590,N3,VIP_Offer,10:00
User_5159,N3,VIP_Offer,10:00
User_1534,N3,VIP_Offer,10:00
User_7436,N3,VIP_Offer,10:00
User_6437,N3,VIP_Offer,10:00
User_9941,N3,VIP_Offer,10:00
User_7288,N3,VIP_Offer,10:00
User_2203,N3,VIP_Offer,10:00
User_1537,N3,VIP_Offer,10:00
User_6089,N3,VIP_Offer,10:00
User_6551,N3,VIP_Offer,10:00
User_4545,N3,VIP_Offer,10:00
User_2595,N3,VIP_Offer,10:00
User_3197,N3,VIP_Offer,10:00
User_8472,N3,VIP_Offer,10:00
User_7958,N3,VIP_Offer,10:00
User_1908,N3,VIP_Offer,10:00
User_8497,N3,VIP_Offer,10:00
User_5211,N3,VIP_Offer,10:00
User_6283,N3,VIP_Offer,10:00
User_7258,N3,VIP_Offer,10:00
User_9297,N3,VIP_Offer,10:00
User_3481,N3,VIP_Offer,10:00
User_8192,N3,VIP_Offer,10:00
User_6446,N3,VIP_Offer,10:00
User_7212,N3,VIP_Offer,10:00
User_5922,N3,VIP_Offer,10:00
User_2637,N3,VIP_Offer,10:00
User_6195,N3,VIP_Offer,10:00
User_3462,N3,VIP_Offer,10:00
User_3713,N3,VIP_Offer,10:00
User_5745,N3,VIP_Offer,10:00
User_2155,N3,VIP_Offer,10:00
User_4710,N3,VIP_Offer,10:00
User_9427,N3,VIP_Offer,10:00
User_7267,N3,VIP_Offer,10:00
User_3440,N3,VIP_Offer,10:00
User_3867,N3,VIP_Offer,10:00
User_5009,N3,VIP_Offer,10:00
User_2701,N3,VIP_Offer,10:00
User_4793,N3,VIP_Offer,10:00
User_7318,N3,VIP_Offer,10:00
User_1896,N3,VIP_Offer,10:00
